INFO:     127.0.0.1:61443 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:63098 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:63098 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:56777 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:56777 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:55293 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:55293 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:59792 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:59792 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:60984 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:60984 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:62569 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:62569 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:56543 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:56543 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:62887 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:62887 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:54778 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:54778 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:60045 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:60045 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:56081 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:56081 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:63993 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:63993 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:59253 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:59253 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:60111 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:60111 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
INFO:     127.0.0.1:51929 - "GET /api/market/overview HTTP/1.1" 200 OK
INFO:     127.0.0.1:51929 - "GET /api/market/fii-dii HTTP/1.1" 200 OK
